# Mnemonic          Explicit Operands     Implicit Operands Encoding                                Flags, Prefixes, Set, Category, Class, RW map, Additional ops
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# 0x00 - 0x0F
VPSHUFB             Vx,Hx,Wx              nil               [vex m:2 p:1 l:x w:i 0x00 /r]           s:AVX, t:AVX, w:W|R|R, e:4
VPHADDW             Vx,Hx,Wx              nil               [vex m:2 p:1 l:x w:i 0x01 /r]           s:AVX, t:AVX, w:W|R|R, e:4
VPHADDD             Vx,Hx,Wx              nil               [vex m:2 p:1 l:x w:i 0x02 /r]           s:AVX, t:AVX, w:W|R|R, e:4
VPHADDSW            Vx,Hx,Wx              nil               [vex m:2 p:1 l:x w:i 0x03 /r]           s:AVX, t:AVX, w:W|R|R, e:4
VPMADDUBSW          Vx,Hx,Wx              nil               [vex m:2 p:1 l:x w:i 0x04 /r]           s:AVX, t:AVX, w:W|R|R, e:4
VPHSUBW             Vx,Hx,Wx              nil               [vex m:2 p:1 l:x w:i 0x05 /r]           s:AVX, t:AVX, w:W|R|R, e:4
VPHSUBD             Vx,Hx,Wx              nil               [vex m:2 p:1 l:x w:i 0x06 /r]           s:AVX, t:AVX, w:W|R|R, e:4
VPHSUBSW            Vx,Hx,Wx              nil               [vex m:2 p:1 l:x w:i 0x07 /r]           s:AVX, t:AVX, w:W|R|R, e:4
VPSIGNB             Vx,Hx,Wx              nil               [vex m:2 p:1 l:x w:i 0x08 /r]           s:AVX, t:AVX, w:W|R|R, e:4
VPSIGNW             Vx,Hx,Wx              nil               [vex m:2 p:1 l:x w:i 0x09 /r]           s:AVX, t:AVX, w:W|R|R, e:4
VPSIGND             Vx,Hx,Wx              nil               [vex m:2 p:1 l:x w:i 0x0A /r]           s:AVX, t:AVX, w:W|R|R, e:4
VPMULHRSW           Vx,Hx,Wx              nil               [vex m:2 p:1 l:x w:i 0x0B /r]           s:AVX, t:AVX, w:W|R|R, e:4
VPERMILPS           Vx,Hx,Wx              nil               [vex m:2 p:1 l:x w:0 0x0C /r]           s:AVX, t:AVX, w:W|R|R, e:4
VPERMILPD           Vx,Hx,Wx              nil               [vex m:2 p:1 l:x w:0 0x0D /r]           s:AVX, t:AVX, w:W|R|R, e:4
VTESTPS             Vx,Wx                 Fv                [vex m:2 p:1 l:x w:0 0x0E /r]           s:AVX, t:LOGICAL_FP, w:R|R|W, f:VPTEST, e:4
VTESTPD             Vx,Wx                 Fv                [vex m:2 p:1 l:x w:0 0x0F /r]           s:AVX, t:LOGICAL_FP, w:R|R|W, f:VPTEST, e:4

# 0x10 - 0x1F
VCVTPH2PS           Vdq,Wq                nil               [vex m:2 p:1 l:0 w:0 0x13 /r]           s:F16C, t:CONVERT, w:W|R, e:11
VCVTPH2PS           Vqq,Wdq               nil               [vex m:2 p:1 l:1 w:0 0x13 /r]           s:F16C, t:CONVERT, w:W|R, e:11
VPERMPS             Vqq,Hqq,Wqq           nil               [vex m:2 p:1 l:1 w:0 0x16 /r]           s:AVX2, t:AVX2, w:W|R|R, e:4
VPTEST              Vx,Wx                 Fv                [vex m:2 p:1 l:x w:i 0x17 /r]           s:AVX, t:LOGICAL, w:R|R|W, f:VPTEST, e:4
VBROADCASTSS        Vx,Wss                nil               [vex m:2 p:1 l:x w:0 0x18 /r]           s:AVX, t:BROADCAST, w:W|R, e:6
VBROADCASTSD        Vqq,Wsd               nil               [vex m:2 p:1 l:x w:0 0x19 /r]           s:AVX, t:BROADCAST, w:W|R, e:6
